Date,Time,Headline,Description,Source,RelevanceScore,EventType,SignalScore,SignalLabel
2025-12-31,03:45:59,"Accenture to Acquire Cabel Industry, Enhancing Financial Services Capabilities in Italy","Accenture (NYSE: ACN) has entered into an agreement with the Fibonacci Group to acquire Cabel Industry, an Italian tech company.",crowdfundinsider.com,3,GOVERNANCE,-0.8786194697022438,negative
2025-12-31,03:14:23,India Post to discontinue certain international letter mail services from January 2026,"India Post will discontinue select outward international letter mail services, including registered small packets, from January 1, 2026, citing tracking and delivery issues.",thehindubusinessline.com,3,GOVERNANCE,0.20071580447256565,neutral
2026-01-12,05:12:01,Amagi’s IPO to test 2026 markets with a valuation reset and no clear peers,"The media-tech firm is entering public markets at a lower valuation, forcing investors to price a globally scaled but hard-to-benchmark business.",livemint,3,GOVERNANCE,0.019475650042295456,neutral
2026-01-12,05:10:15,Why IT Recruiters are Refusing to Give Up on Campus Hiring,"From hackathons and MVPs to internships and cricket matches, IT recruiters are evolving large-scale hiring.The post Why IT Recruiters are Refusing to Give Up on Campus Hiring appeared first on Analytics India Magazine.",analyticsindiamag,3,GOVERNANCE,0.75063207000494,positive
2026-01-12,05:09:55,From founder to first cheque: How TDV Partners is betting on India’s next big consumer giants,"TDV—short for Trillion Dollar Ventures—was set up with the belief that some of the next generation of globally scaled companies will be built out of India, and that backing founders early is key to that outcome.",yourstory,3,GOVERNANCE,0.5505909621715546,positive
2026-01-12,05:07:43,Quick fashion set to redefine India’s apparel retail battle in 2026,This shift is driven by impulse-led demand for occasion wear and is proving to be a strategic lever to reduce return rates and boost conversion in a recovering apparel market.,livemint,3,GOVERNANCE,-0.8495718166232109,negative
2026-01-12,05:07:23,Global India Express Pvt. Ltd. Celebrates Over 15 Years In International Logistics And Strengthens Its Pan-India Presence,"(MENAFN - ForPressRelease)Global India Express Pvt. Ltd., one of India's steadily rising names in international courier and logistics services, marks over fifteen years of operations with expanded ...",menafn,3,GOVERNANCE,-0.9096531979739666,negative
2026-01-12,05:07:19,"Delhi Shivers At 2.9°C, AQI Remains Poor; Dense Fog Disrupts Trains And Flights","Air India’s Delhi-Kolkata flight was cancelled due to dense fog. IMD forecasts dry weather, with clear skies from January 12-17; cold wave conditions persist.",etvbharat,3,GOVERNANCE,0.010892044752836227,neutral
2026-01-12,05:07:00,"‘Iran Called To Negotiate’, Claims Trump, Says Will ‘Hit Them Like They've Never Been Hit’ If Iran Targets US Bases","US President Donald Trump claimed Iran reached out for negotiations amid ongoing nationwide protests, but warned of unprecedented military action if US bases are targeted. Speaking on Air Force One, he referenced past strikes like Soleimani's killing.",zeenews,3,GOVERNANCE,0.30851078033447266,positive
2026-01-12,05:06:18,"Google partners Walmart, Shopify and others for AI-powered shopping — how will it work","UCP is a result of Google's partnership with major retailers like Shopify, Etsy, Wayfair, Target and Walmart.",cnbctv18,3,GOVERNANCE,0.4434812664985657,positive
2026-01-12,05:05:35,New Mygov Services Eable Online Drone Permits And UAV Registration,"(MENAFN - AzerNews)Nazrin AbdulRead moreIn a bid to expand the range of digital services available tocitizens, two new services have been launched on the ""mygov""platform. Users can now ...",menafn,3,GOVERNANCE,-0.32608816027641296,negative
2026-01-12,10:41:53,Multi Commodity Exchange of India Executes ₹15.25 Crore Block Trade on NSE,"Multi Commodity Exchange of India Ltd. executed a notable block trade on NSE worth ₹15.25 crores, involving approximately 68,405 shares at ₹2,230.00 per share. The transaction reflects significant institutional activity in the leading commodity exchange stock. Block trades typically indicate substantial investor participation and provide important market reference points for institutional valuation of the company's shares.",scanx.trade,3,GOVERNANCE,0.45202234387397766,positive
2026-01-12,10:33:14,Erode man held for Rs 1.2 crore online stock trading scam,"The victim, Mahendran, a resident of Villivakkam, had received a WhatsApp message from an unknown person who promised high returns on stock market investments.",The New Indian Express,8,GOVERNANCE,0.5340645834803581,positive
2026-01-12,10:23:56,"Nifty 50 Falls Below 25,550 as Indian Stock Market Extends Decline for Sixth Consecutive Session","Indian stock market extended decline for sixth consecutive session on January 12, with Sensex falling over 500 points to 83,043 and Nifty 50 dropping to 25,529. Over six sessions, both indices declined over 3%, with Sensex shedding 2,700+ points. Investor wealth eroded by ₹16+ lakh crore as BSE market cap fell from ₹481+ lakh crore to ₹465 lakh crore. Decline attributed to geopolitical risks, US tariff concerns, and foreign capital outflow.",scanx.trade,5,GOVERNANCE,0.006496846675872803,neutral
2026-01-12,10:21:59,Meesho Shares Decline 3% as BofA Securities Sets ₹190 Price Target with Neutral Rating,"Meesho shares fell 3% on Monday as BofA Securities initiated neutral coverage with ₹190 price target. The brokerage projects 26% NMV CAGR between FY26-FY29 and expects EBITDA margin to turn positive by FY29. Despite recent corrections and 9% decline in 2026, the stock remains 50% above its ₹111 IPO price, supported by growth opportunities in market share expansion, fintech scaling, and grocery segment entry.",scanx.trade,6,GOVERNANCE,-0.023980497382581234,neutral
2026-01-12,10:17:44,"Stock market crash: Nifty 50 drops below 25,550, Sensex sheds 2,700 points in 6 days; why is Indian stock market down?","Over the six consecutive sessions, the Sensex has tanked over 2,700 points, or more than 3%, while the Nifty 50, too, has shed more than 3%. Investors' wealth has been eroded by more than ₹16 lakh crore in six sessions.",Livemint,5,GOVERNANCE,0.011324292048811913,neutral
2026-01-12,10:04:00,"After blockbuster 2025, metal stocks tumble up to 10% weekly this year. What’s ahead?","Metal stocks experienced a dip in early 2026, with some declining up to 10% due to profit-booking and US tariff concerns. Despite this, market experts highlight strong sector fundamentals and favorable momentum, suggesting selective stock picking for potential upside. The Nifty Metal index saw a 3% weekly decline, though some analysts remain positive on the long-term outlook.",The Economic Times,6,FINANCIAL,-0.01003135833889246,neutral
2026-01-12,09:59:38,IREDA Shares Jump 4% as Net Profit Surges 37.5% YoY in Q3 Results,"IREDA shares surged up to 4.13% to ₹142.30 on Monday following strong Q3 results announcement. The state-owned renewable energy financing company reported impressive 37.5% YoY growth in net profit to ₹585 crore versus ₹425 crore previously. Despite broader market weakness, the stock traded at ₹139.80, up 2.3%, reflecting investor confidence in the company's robust financial performance and position in India's renewable energy sector.",scanx.trade,9,FINANCIAL,-0.9278834406286478,negative
2026-01-12,09:54:51,China's Stock Market Soars to New Heights with AI and Space Shares Leading the Charge,"China's stock market hit a decade-high, driven by gains in artificial intelligence and commercial space shares. The CSI300 and Shanghai Composite indexes showed strong growth, while Hong Kong's Hang Seng also rose. Despite challenges like chipmaking limitations, China's tech sector remains promising.",Devdiscourse,5,GOVERNANCE,-0.8781403675675392,negative
2026-01-12,09:45:45,Fraudsters dupe wife of ex-IPS officer of ₹2.6 cr in fake stock mkt scheme,The woman stated in a police complaint that she received an unsolicited invitation on an instant messaging app in November last year offering huge profits through investments in the stock market,Business Standard,11,FINANCIAL,0.6319387257099152,positive
2026-01-12,09:32:00,Sensex and Nifty Start Cautiously Amid Global Cues and Geopolitical Tensions On Mnday,"Stock Market Today: Indian markets began the day cautiously, showing modest pre‑opening declines amid mixed global cues. Traders are keeping an eye on geopolitical tensions, muted GIFT Nifty signals, Q3 earnings, and stock‑specific moves rather than broad market trends.",NewsX,8,FINANCIAL,0.012101959437131882,neutral
2025-12-30,17:55:43,"Ryvyl Announces Reverse Stock Split, Stock Down In Pre-Market","Ryvyl Inc. (RVYL), Tuesday announced that the shareholders approved the proposed reverse stock split of the company's outstanding common stock at a ratio between 1-for 20 to 1-for-50 shares during its 2025 Annual Meeting of Stockholders.",rttnews.com,3,GOVERNANCE,0.8554754815995693,positive
2025-12-30,18:05:00,3 Stock Market Predictions for 2026,"Investors had no shortage of excitement in 2025, and another epic year in the stock market looks to be on tap for 2026.",finance.yahoo.com,5,GOVERNANCE,0.43603408336639404,positive
2025-12-29,06:45:33,Stock Market Live Updates 29th December 2025: Stock to buy today: Choice International,"Stock Market Today | Share Market Live Updates - Find here all the live updates related to Sensex, Nifty, BSE, NSE, share prices and Indian stock markets for 29th December 2025.",thehindubusinessline.com,5,GOVERNANCE,0.9204161614179611,positive
2026-01-12,05:09:33,Bharat Coking Coal IPO GMP: BCCL IPO Subscribed Over 11 Times On Day 2; Check Latest GMP And Other Details,"bccl ipo gmp,bharat coking coal ipo,bharat coal ipo gmp,gmp of bharat coking coal,bccl ipo gmp today,grey market premium,gmp,bccl ipo,bccl,bccl ipo subscription status,bccl ipo update,ipo news",english_jagran,3,GOVERNANCE,0.910914272069931,positive
2026-01-12,05:05:53,Gold Prices Hit Record High In Pakistan Amid Global Market Surge,(MENAFN - Tribal News Network) -->Gold prices in the country have reached a new all-time high. A significant increase has been recorded in gold prices due to a rise in both the international and ...,menafn,3,GOVERNANCE,-0.9233771115541458,negative
2026-01-12,05:05:43,"Gold edges past $4,600/oz as Powell-Trump rift stokes safe-haven demand","Spot gold jumped 1.3% to $4,566.80 per ounce by 0410 GMT. Bullion hit a record high of $4,600.33 earlier in the day",moneycontrol,3,GOVERNANCE,-0.9116139076650143,negative
2026-01-12,05:00:44,Vietnam central bank cuts credit growth target to 15% after warnings on asset bubbles,"HANOI, Jan ‌12 : Vietnam's central bank has cut its target for credit growth to around 15 per cent this year, it said over the weekend, after warnings of financial risks from last year's credit splurge.Last year, the country reported rapid credit growth of about 20 per cent, as authorities sought to support",channelnewsasia,3,GOVERNANCE,0.0018948577344417572,neutral
2026-01-12,04:56:46,"Sensex declines 455 points on foreign fund outflows, trade-related concerns",Sensex and Nifty tumble as foreign fund outflows and trade concerns weigh on investor sentiment. Discover the latest market trends and insights as geopolitical tensions and US tariff threats impact Indian equities.,dtnext,3,GOVERNANCE,0.030508275143802166,neutral
2026-01-12,04:55:11,Asia FX Subdued as Dollar Slips Amidst Startling Congressional Probe into Fed’s Powell,"BitcoinWorldAsia FX Subdued as Dollar Slips Amidst Startling Congressional Probe into Fed’s PowellFinancial markets across Asia opened with cautious restraint on Thursday, March 20, 2025, as regional currencies showed limited movement against a broadly weaker US dollar. The greenback’s decline follows the startling announcement of a formal congressional investigation into Federal Reserve Chair Jerome Powell, triggering immediate volatility in global foreign exchange markets and raising profound questions [...]This post Asia FX Subdued as Dollar Slips Amidst Startling Congressional Probe into Fed’s Powell first appeared on BitcoinWorld.",bitcoinworld,6,GOVERNANCE,-0.02777176909148693,neutral
2026-01-12,04:55:04,BCCL IPO Buzz: Investors Eye ₹33.6 Share Price Ahead Of January 16 Listing,"BCCL IPO: Bharat Coking Coal IPO sees massive demand, oversubscribed 8.09x on Day 1. Grey market premium signals 46% listing gains. Investors eye ₹33.6/share debut on January 16 amid strong market hype.",newsx,3,GOVERNANCE,-0.3223099894821644,neutral
2026-01-12,04:54:58,TCS Q3 Results Live Updates: Stock trades lower; Street expects muted but stable performance,"TCS Q3 Results LIVE Updates: The IT firm is expected to report a muted but stable third quarter. The spotlight is firmly on the company's AI-led growth push, capital allocation and margin resilience. Check this space for LIVE Updates on Q3 earnings, stock reaction, analyst views, management commentary and more.",cnbctv18,9,FINANCIAL,0.09811894223093987,neutral
2026-01-12,04:54:03,IEX shares extend slide to 35% from peak amid market coupling overhang: Buy or avoid?,"Indian Energy Exchange (IEX) shares have plummeted 35% from their peak, driven by regulatory uncertainty surrounding the market coupling order. Experts advise caution, citing weak technicals and potential dilution of IEX's market dominance, though some see value if a favorable outcome is reached.",economictimes_indiatimes,6,GOVERNANCE,0.003925574943423271,neutral
2025-12-19,12:58:50,Nucleus Software Exports Limited Reconstitutes Risk Management Committee Following Executive Director's Term Completion,"Nucleus Software Exports Limited has reconstituted its Risk Management Committee effective December 18, 2025, following the completion of Executive Director Anurag Mantri's term. The new committee comprises seven Non-Executive Independent Directors, with Mr. S M Acharya as Chairperson. The company has informed stock exchanges about this governance change under Regulation 30, ensuring compliance with disclosure requirements.",scanx.trade,5,GOVERNANCE,0.8921428173780441,positive
2025-12-18,17:19:29,India Goods Exports to Shrink 1% FY26 on US Tariffs; Services Hold Strong: CareEdge,"CareEdge forecasts 1% contraction in India's goods exports FY26 (vs 0.1% FY25 growth), hit by US tariffs; Apr-Oct FY26 growth at 0.5% (petrol -17%). Services exports resilient at 8.2% (to $234B), projected 8.5% FY26 growth led by software, business services.",Republic World,6,GOVERNANCE,-0.016614340245723724,neutral
2025-12-28,23:30:38,"Trump’s Market Mania: A Rollercoaster of Tariffs, Deals, & Battleships","Another week, another whirlwind of pronouncements from the former-President-turned-market-influencer, Donald J. Trump. As 2025 draws to a close, the financial",thestockmarketwatch.com,6,GOVERNANCE,0.744831308722496,positive
2026-01-12,04:07:03,BYD Brings Self-Driving Hardware To Low-Cost Electric Cars,"(MENAFN - The Arabian Post)BYD has begun integrating advanced LiDAR sensing into some of its lowest-priced electric vehicles, a move that signals a sharp escalation in the race to make assisted ...",menafn,3,GOVERNANCE,-0.7937791049480438,negative
2026-01-12,00:56:31,"‘Govt good at implementation, so new welfarism, infra took off. (Pvt investment) needs rule of law, not to weaponise state to target or favour’","Arvind Subramanian, former Chief Economic Advisor, and Devesh Kapur, Professor of South Asian Studies at Johns Hopkins University, on centralisation, the UBI concept and higher education in India.",indianexpress,3,GOVERNANCE,0.6482289880514145,positive
2026-01-11,03:22:41,"Budget 2026-27: In the AI race, India can't afford to jog","India's digital sector is emerging as a crucial power-lifter amidst global economic realignments, strengthening domestic resilience and expanding its international footprint. With significant investments in infrastructure and deep technology, India is poised to convert its digital scale into sustained leadership, leveraging its complex ecosystem for AI innovation and securing infrastructure sovereignty.",economictimes_indiatimes,3,GOVERNANCE,-0.8455237224698067,negative
2026-01-11,01:37:45,"Daily Voice | Budget 2026 to focus on capex continuity, jobs, human capital and fiscal credibility: Pradeep Gupta, Anand Rathi","In Budget 2026, continuity in public capex, particularly in infrastructure, defence, energy transition, and logistics, will sustain the investment cycle, said Pradeep Gupta.",moneycontrol,3,GOVERNANCE,-0.6197846084833145,negative
